date,NYC_felony,Bronx_felony,Brooklyn_felony,Manhattan_felony,Queens_felony,Staten_felony,NYC_housing,Bronx_housing,Brooklyn_housing,Manhattan_housing,Queens_housing,Staten_housing
1990,710223,104570,202006,216882,164915,21850,101250,94000,95000,260500,109000,110000
1991,678855,99875,191262,208352,159557,19809,96500,89950,95000,272500,100000,110000
1992,626182,92427,176699,187179,151734,18143,92500,85000,91500,162333,92500,105000
1993,600346,91889,169236,172002,149016,18203,90000,85000,90000,257500,90000,102500
1994,530121,84294,148378,150433,129050,17966,92500,89000,91667,245833,92500,103970
1995,444758,73585,124794,123686,108744,13949,92500,84500,92500,316667,92500,105000
1996,381555,63518,106656,105615,93820,11946,92500,87500,90000,315396,94500,105000
1997,355893,57508,101460,99684,85898,11343,95500,88500,93000,225000,99000,111000
1998,323192,52379,96432,89750,75573,9058,100000,92500,97500,187500,105000,111490
1999,299522,49939,89157,81514,70297,8615,110000,100000,110000,125221,112500,122400
2000,288368,49519,86098,79292,64772,8687,123333,110000,117700,265000,129000,135826
2001,263764,46386,77847,72500,59347,7684,136000,118541,131700,138006,144000,156582
2002,248450,43506,72972,67720,56469,7783,147500,125000,140000,168111,161500,172355
2003,234194,42575,70574,64061,50085,6899,178750,146667,172713,225000,195983,187500
2004,226876,40939,67962,62731,48142,7102,207500,170000,204150,312500,226000,212500
2005,217132,39024,66239,59682,45122,7065,240000,196667,235500,408750,265000,247500
2006,205522,36696,61252,56313,44203,7057,267500,225000,265000,500000,292500,250000
2007,199941,36088,59279,55128,42607,6839,277500,232048,279524,650000,298700,255000
