date,NYC_felony,Bronx_felony,Brooklyn_felony,Manhattan_felony,Queens_felony,Staten_felony,NYC_housing,Bronx_housing,Brooklyn_housing,Manhattan_housing,Queens_housing,Staten_housing
1990,710,105,202,217,165,22,101,94,95,261,109,110
1991,679,100,191,208,160,20,97,90,95,273,100,110
1992,626,92,177,187,152,18,93,85,92,162,93,105
1993,600,92,169,172,149,18,90,85,90,258,90,103
1994,530,84,148,150,129,18,93,89,92,246,93,104
1995,445,74,125,124,109,14,93,85,93,317,93,105
1996,382,64,107,106,94,12,93,88,90,315,95,105
1997,356,58,101,100,86,11,96,89,93,225,99,111
1998,323,52,96,90,76,9,100,93,98,188,105,111
1999,300,50,89,82,70,9,110,100,110,125,113,122
2000,288,50,86,79,65,9,123,110,118,265,129,136
2001,264,46,78,73,59,8,136,119,132,138,144,157
2002,248,44,73,68,56,8,148,125,140,168,162,172
2003,234,43,71,64,50,7,179,147,173,225,196,188
2004,227,41,68,63,48,7,208,170,204,313,226,213
2005,217,39,66,60,45,7,240,197,236,409,265,248
2006,206,37,61,56,44,7,268,225,265,500,293,250
2007,200,36,59,55,43,7,278,232,280,650,299,255
